time,class_0,class_1,total,scenario
2660.4572393123376,38,82,120,unstable_like
2660.467091344046,39,81,120,unstable_like
2660.467641308397,40,80,120,unstable_like
2660.4721097702623,39,81,120,unstable_like
2660.4797807467367,38,82,120,unstable_like
2660.4812909819034,39,81,120,unstable_like
2660.4908195305957,40,80,120,unstable_like
2660.496120644081,41,79,120,unstable_like
2660.4967964738657,42,78,120,unstable_like
2660.4968041803245,41,79,120,unstable_like
2660.5012515524677,40,80,120,unstable_like
2660.5013815811035,39,81,120,unstable_like
2660.503246788099,38,82,120,unstable_like
2660.5152656378505,39,81,120,unstable_like
2660.516146267402,40,80,120,unstable_like
2660.5259253402505,39,81,120,unstable_like
2660.5482974831207,40,80,120,unstable_like
2660.556206822882,41,79,120,unstable_like
2660.563914751652,42,78,120,unstable_like
2660.5663202739383,41,79,120,unstable_like
2660.5684733808966,40,80,120,unstable_like
2660.57561747955,39,81,120,unstable_like
2660.575984064573,38,82,120,unstable_like
2660.5920275600706,37,83,120,unstable_like
2660.596675441121,36,84,120,unstable_like
2660.6055988317457,35,85,120,unstable_like
2660.609066115865,36,84,120,unstable_like
2660.611928356104,35,85,120,unstable_like
2660.6121094206974,36,84,120,unstable_like
2660.6136195861754,37,83,120,unstable_like
2660.618486004368,38,82,120,unstable_like
2660.622821759335,39,81,120,unstable_like
2660.6268121142016,38,82,120,unstable_like
2660.628695612689,37,83,120,unstable_like
2660.6293029134226,38,82,120,unstable_like
2660.6358563392905,39,81,120,unstable_like
2660.6457727811135,40,80,120,unstable_like
2660.656577137197,41,79,120,unstable_like
2660.6581507888873,42,78,120,unstable_like
2660.6682625713975,43,77,120,unstable_like
2660.6742175810487,44,76,120,unstable_like
2660.6756154772593,45,75,120,unstable_like
2660.7085345454598,44,76,120,unstable_like
2660.7211520360784,43,77,120,unstable_like
2660.723656033599,44,76,120,unstable_like
2660.72861782324,43,77,120,unstable_like
2660.7286560015273,44,76,120,unstable_like
2660.7313895058924,45,75,120,unstable_like
2660.7381628720505,44,76,120,unstable_like
2660.7390308450194,45,75,120,unstable_like
2660.74246140998,44,76,120,unstable_like
2660.744513440539,43,77,120,unstable_like
2660.7507839775717,44,76,120,unstable_like
2660.768092504957,43,77,120,unstable_like
2660.7737008022546,42,78,120,unstable_like
2660.7761448516303,41,79,120,unstable_like
2660.77978584317,40,80,120,unstable_like
2660.781665459007,41,79,120,unstable_like
2660.782518186439,42,78,120,unstable_like
2660.7872283960237,41,79,120,unstable_like
2660.790208148672,40,80,120,unstable_like
2660.7945211481506,41,79,120,unstable_like
2660.7947437914813,40,80,120,unstable_like
2660.804897169819,39,81,120,unstable_like
2660.825191524521,40,80,120,unstable_like
2660.8323226859898,39,81,120,unstable_like
2660.833576817796,40,80,120,unstable_like
2660.8530416971794,41,79,120,unstable_like
2660.859961390802,40,80,120,unstable_like
2660.861667585087,39,81,120,unstable_like
2660.8648478229084,40,80,120,unstable_like
2660.869077629058,41,79,120,unstable_like
2660.870827553328,40,80,120,unstable_like
2660.8729399258395,39,81,120,unstable_like
2660.8762495179394,40,80,120,unstable_like
2660.878035782808,39,81,120,unstable_like
2660.8824575801405,38,82,120,unstable_like
2660.8998745016934,39,81,120,unstable_like
2660.9048037214843,40,80,120,unstable_like
2660.90491065835,41,79,120,unstable_like
2660.905561004913,40,80,120,unstable_like
2660.9170283449553,39,81,120,unstable_like
2660.9223591040654,40,80,120,unstable_like
2660.940497585976,39,81,120,unstable_like
2660.944802293341,38,82,120,unstable_like
2660.9588322928853,39,81,120,unstable_like
2660.977001469226,40,80,120,unstable_like
2660.9970865571213,41,79,120,unstable_like
2661.004360693973,42,78,120,unstable_like
2661.0147268014866,41,79,120,unstable_like
2661.0161113663103,42,78,120,unstable_like
2661.0239070735474,41,79,120,unstable_like
