bound,W_1,W_2,W,Var_W,L_1,L_2,L,h12,h21,heatmap_bound,arrival_rate1,arrival_rate2,service_rate1,service_rate2,num_servers,CV_W
16,1.818961045145736,1.9632482351177998,1.8670567751364238,5.047033750156732,1.5952946134249004,0.27211486138786933,1.867409474812767,0.4,2.8000000000000003,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2032630482752487
16,1.8240934990960138,1.9608537198714133,1.8696802393544802,5.0288291191432055,1.6106253730438216,0.2593938713447727,1.8700192443885946,0.4,3.0,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.1994056800841133
16,1.1900077248018637,1.6229510497978081,1.3343221664671785,2.862460350830061,0.5321426931919033,0.8015797315691728,1.3337224247610755,0.6000000000000001,0.0,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2679701774010739
16,1.3771380002596234,1.832712216963956,1.528996072494401,4.921648578957368,0.6926029953676207,0.8341425400467383,1.5267455354143575,0.6000000000000001,0.2,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.4509382518780654
16,1.509718860133589,1.9215384379413074,1.6469920527361617,5.613938987645691,0.8564093304713837,0.7897340416332232,1.6461433721046095,0.6000000000000001,0.4,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.438607567998728
16,1.5932232427577255,1.9549736060325633,1.7138066971826715,5.746245759580647,0.9912283538552934,0.7223841551981488,1.7136125090534424,0.6000000000000001,0.6000000000000001,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.398718317845933
16,1.6485780527918363,1.9676492290876388,1.7549351115571037,5.7327930003885825,1.0979440977149655,0.6570575955956889,1.755001693310657,0.6000000000000001,0.8,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.3643382881796524
16,1.687476366226417,1.9718555324969516,1.7822694216499284,5.681324755392632,1.182922319877188,0.5995616738093142,1.7824839936864993,0.6000000000000001,1.0,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.337369614219159
16,1.7161601588914688,1.9723590467778125,1.8015597881869165,5.6231820506723125,1.2516668813604803,0.5502233216456941,1.8018902030061743,0.6000000000000001,1.2000000000000002,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.31626214813092
16,1.7381385297688636,1.9711966090690016,1.8158245562022428,5.568023656114224,1.3082208707511351,0.508034014680749,1.8162548854318827,0.6000000000000001,1.4000000000000001,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2995010983544246
16,1.7555018148015678,1.9693026319442632,1.8267687538491328,5.51848723658652,1.355475151361222,0.4718106610131986,1.827285812374421,0.6000000000000001,1.6,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2859569994563642
16,1.7695618854453015,1.9671266277845383,1.8354167995583803,5.474835869674552,1.3955086453664545,0.44049980544199746,1.8360084508084544,0.6000000000000001,1.8,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2748258156706784
16,1.7811797821087798,1.9648904232548392,1.8424166624907996,5.436566707471324,1.4298392205427304,0.4132327574317443,1.8430719779744724,0.6000000000000001,2.0,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2655360121463697
16,1.7909425324354284,1.9627035168015867,1.8481961938908142,5.4029870270456914,1.4595946432122209,0.38931098122386487,1.8489056244360882,0.6000000000000001,2.2,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2576763400134354
16,1.7992634772910392,1.9606179817018738,1.8530483120946508,5.373417514454081,1.485627475249025,0.36817620866355033,1.8538036839125764,0.6000000000000001,2.4000000000000004,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2509459661739013
16,1.8064418003010358,1.9586558700064336,1.8571798235361683,5.34725655276535,1.5085928146811929,0.3493814101716232,1.8579742248528133,0.6000000000000001,2.6,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2451209883157373
16,1.8126992652326182,1.9568234128273896,1.8607406477642083,5.32399254887247,1.529001633848943,0.3325666379138507,1.8615682717627948,0.6000000000000001,2.8000000000000003,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2400319486309763
16,1.8182036800853079,1.9551185906205844,1.8638419835970665,5.30319778764309,1.5472579760780927,0.31743998952110003,1.8646979655991915,0.6000000000000001,3.0,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2355485697165827
16,1.1796550298265653,1.5680556295202512,1.3091218963911273,2.6862546686863515,0.503116932449812,0.8054726431586602,1.308589575608471,0.8,0.0,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.2519687961015737
16,1.354319210741159,1.7662361655530165,1.4916248623451114,4.6300658286941,0.6398827044661974,0.8490197587765927,1.4889024632427896,0.8,0.2,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.44256027771753
16,1.4852543884098188,1.866890024093672,1.6124662669711032,5.494868782793526,0.7845168141379212,0.8263726097347677,1.610889423872688,0.8,0.4,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.4537443005583515
16,1.5712752445079878,1.912718833803506,1.6850897742731605,5.753389049969135,0.9101052294072681,0.774339925834941,1.6844451552422064,0.8,0.6000000000000001,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.4234388932559814
16,1.6296688562005284,1.9347152385914324,1.731350983664163,5.814851638929047,1.013782399665746,0.7173837937359876,1.7311661934017355,0.8,0.8,16,0.6666666666666666,0.3333333333333333,1.5,2.5,1,1.3927853860225854
