bound,W_1,W_2,W,Var_W,L_1,L_2,L,h12,h21,CV_W
12,1.7004107808051787,1.881935425625355,1.7609189957452374,5.989899867857671,1.0167193840761601,0.740319833143191,1.7570392172193514,2.1,1.7999999999999998,1.389857909131539
12,1.7229755117465453,1.890072139151084,1.778674387548058,5.937865361624146,1.0764215164468023,0.7002810474656213,1.7767025639124228,2.1,2.1,1.3699941780977194
12,1.7403864172597843,1.895310508317738,1.7920277809457688,5.884345957515026,1.1281240136258786,0.66326752020628,1.7913915338321589,2.1,2.4,1.3536436835431143
12,1.7541162577871374,1.898671165987015,1.8023012271870964,5.832151877605195,1.1732487214161305,0.6293669493201102,1.80261567073624,2.1,2.6999999999999997,1.3399451902440909
12,1.76513619531281,1.9007727080859265,1.810348366237182,5.78215586283142,1.212930247741677,0.5984337540787864,1.811364001820463,2.1,3.0,1.3282589248791643
12,1.1363750231117202,1.4019424269720684,1.2248974910651695,2.162879129747136,0.40832935392452774,0.8139547652198936,1.2222841191444211,2.4,0.0,1.200649874821898
12,1.3240267451881595,1.602324041062899,1.4167925104797394,4.197912492639071,0.5177403441620982,0.88377156320129,1.4015119073633877,2.4,0.3,1.4461403311288177
12,1.463551338420683,1.72495215112316,1.550684942654842,5.421385188115593,0.631470953765922,0.8999520379727213,1.5314229917386422,2.4,0.6,1.5015215257034606
12,1.5551692679040074,1.7926607013776403,1.6343330790618849,5.90098358643503,0.7353942040105538,0.8823113978189486,1.6177056018295026,2.4,0.8999999999999999,1.4863518648955412
12,1.6167294188458285,1.831771289889574,1.688410042527077,6.058520630497465,0.826342310854026,0.8494435830625975,1.6757858939166235,2.4,1.2,1.4578249171056403
12,1.659896879706375,1.8556094462912653,1.7251344019013384,6.084784031284298,0.9050552499560379,0.8111652047920842,1.716220454748124,2.4,1.5,1.429880186817784
12,1.691397980339818,1.8707981876003588,1.7511980494266648,6.059679874204896,0.9731855797261552,0.7721010654481222,1.7452866451742777,2.4,1.7999999999999998,1.4056900667848284
12,1.715174260447577,1.880812333254493,1.7703869513832156,6.016612488408129,1.0324077549404334,0.7343479835504915,1.7667557384909254,2.4,2.1,1.385504116427161
12,1.7336177940761985,1.8875722647165512,1.7849359509563159,5.968753059638784,1.0841891385037814,0.6987953402840877,1.78298447878787,2.4,2.4,1.3687343574325117
12,1.7482392995878053,1.8921917997693871,1.7962234663149992,5.920831789192006,1.12975456040966,0.6657475259615226,1.7955020863711815,2.4,2.6999999999999997,1.3546621472068163
12,1.7600343465185722,1.8953498086570792,1.805139500564741,5.874380439486156,1.1701070304046735,0.6352240773323267,1.8053311077369987,2.4,3.0,1.342673028319838
12,1.1318382413413857,1.3890892780333084,1.21758858690536,2.120725803290195,0.40017991645960266,0.8148861648124955,1.2150660812720981,2.6999999999999997,0.0,1.196028949401999
12,1.3129273269884596,1.5814866115823325,1.4024470885197506,4.06708781815147,0.5020734173327057,0.8855383098725901,1.3876117272052946,2.6999999999999997,0.3,1.4379880924292494
12,1.4502784313561612,1.70405165410685,1.5348695056063908,5.317742943919701,0.6079607395633948,0.9069515800864582,1.5149123196498517,2.6999999999999997,0.6,1.5024229614618818
12,1.54253429504519,1.774568079897323,1.6198788899959007,5.858454353726028,0.7058356935138689,0.8957321528431018,1.6015678463569714,2.6999999999999997,0.8999999999999999,1.4942008510516336
12,1.6054717524877866,1.8166576562002075,1.67586705372526,6.064038986060151,0.792616261285254,0.8684941063714698,1.6611103676567243,2.6999999999999997,1.2,1.4694047155249534
12,1.6500578140527444,1.8430447198932332,1.7143867826662404,6.121508620964251,0.8686442560769182,0.834623989378245,1.7032682454551642,2.6999999999999997,1.5,1.4431797383988008
12,1.682820883159013,1.8602993824266323,1.7419803829148859,6.114592759284079,0.9351769505179557,0.7988425030689333,1.7340194535868887,2.6999999999999997,1.7999999999999998,1.4195167088920888
12,1.707673521132154,1.8719729698352423,1.7624400040331833,6.081516229445437,0.99357534826354,0.763451940614353,1.7570272888778926,2.6999999999999997,2.1,1.3992380066825003
12,1.7270341253439165,1.8800819694156468,1.7780500733678264,6.039348155041887,1.0450728878294917,0.7295402641527576,1.7746131519822477,2.6999999999999997,2.4,1.3821368490933061
12,1.742447657754531,1.8858201667805945,1.790238494096552,5.995180250546454,1.0907254320138706,0.6975785953126061,1.7883040273264765,2.6999999999999997,2.6999999999999997,1.3676980614401084
